firstname,lastname,season,games,games_started,minutes,fg_made,fg_att,fg_pct,pt3_made,pt3_att,pt3_pct,ft_made,ft_att,ft_pct,steals,turnovers,off_rebounds,def_rebounds,tot_rebounds,assists,blocks,fouls,flag_fouls,tech_fouls,ejected,points
Hidayet,Turkoglu,2009,74,69,2271,276,674,40.9,108,289,37.4,175,226,77.4,55,125,42,301,343,304,32,220,0,1,0,835
Ime,Udoka,2009,69,2,946,91,241,37.8,26,91,28.6,42,57,73.7,34,42,51,140,191,58,6,83,0,0,0,250
Beno ,Udrih,2009,79,41,2475,415,841,49.3,75,199,37.7,118,141,83.7,89,136,38,181,219,372,10,166,0,0,0,1023
Roko Leni,Ukic,2009,13,0,96,14,30,46.7,3,12,25,9,11,81.8,1,6,0,3,3,12,0,6,0,0,0,40
Anderson,Varejao,2009,76,7,2164,267,467,57.2,1,5,20,116,175,66.3,71,67,189,389,578,87,67,223,0,1,0,651
Charlie,Villanueva,2009,78,16,1849,363,827,43.9,99,282,35.1,106,130,81.5,48,74,85,280,365,53,55,223,2,1,0,931
Sasha ,Vujacic,2009,67,1,577,66,164,40.2,25,81,30.9,28,33,84.8,20,17,25,54,79,41,4,67,1,1,0,185
Dwyane,Wade,2009,77,77,2796,719,1511,47.6,73,243,30,534,702,76.1,142,252,107,266,373,501,82,181,0,1,0,2045
Von,Wafer,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill,Walker,2009,35,13,767,120,232,51.7,50,116,43.1,39,49,79.6,23,28,15,73,88,40,3,83,0,1,0,329
Ben,Wallace,2009,69,67,1975,158,292,54.1,0,2,0,65,160,40.6,86,64,245,352,597,105,84,131,0,1,0,381
Gerald,Wallace,2009,76,76,3118,456,943,48.4,52,140,37.1,422,544,77.6,117,178,150,612,762,161,83,194,0,1,1,1386
Rasheed,Wallace,2009,79,13,1785,266,650,40.9,82,290,28.3,96,125,76.8,80,63,42,283,325,80,70,222,0,2,1,710
Luke,Walton,2009,29,0,272,30,84,35.7,7,17,41.2,2,4,50,10,12,12,26,38,40,1,19,0,0,0,69
Hakim,Warrick,2009,76,6,1556,265,550,48.2,1,7,14.3,202,274,73.7,24,80,127,187,314,52,18,126,0,1,0,733
C.J.,Watson,2009,65,15,1787,247,528,46.8,45,145,31,128,166,77.1,103,69,28,141,169,180,8,124,0,1,0,667
Earl,Watson,2009,79,52,2319,223,524,42.6,53,184,28.8,120,169,71,104,175,54,186,240,399,16,181,0,1,0,619
Kyle,Weaver,2009,12,0,145,12,33,36.4,7,19,36.8,5,6,83.3,6,4,1,17,18,11,6,13,0,0,0,36
Martell,Webster,2009,82,49,2006,259,639,40.5,124,332,37.3,126,155,81.3,45,60,47,221,268,62,40,153,0,0,0,768
Sonny,Weems,2009,69,19,1368,236,458,51.5,2,15,13.3,44,64,68.8,39,65,42,150,192,101,25,126,0,1,0,518
David,West,2009,81,81,2948,619,1226,50.5,7,27,25.9,296,342,86.5,76,173,164,441,605,239,60,233,1,1,1,1541
Delonte,West,2009,60,3,1501,194,436,44.5,25,77,32.5,115,142,81,55,90,29,140,169,196,28,86,0,2,1,528
Mario,West,2009,39,1,152,12,21,57.1,0,1,0,6,10,60,8,7,8,19,27,9,0,25,0,0,0,30
Russell,Westbrook,2009,82,82,2815,485,1160,41.8,23,104,22.1,329,422,78,108,268,143,258,401,652,34,204,0,1,0,1322
D.J.,White,2009,12,0,100,25,41,61,0,0,0,9,10,90,5,3,10,13,23,4,3,12,0,0,0,59
Chris,Wilcox,2009,34,10,441,63,120,52.5,0,0,0,26,52,50,13,38,44,73,117,13,12,64,0,1,0,152
Damien,Wilkins,2009,80,31,1587,165,381,43.3,18,61,29.5,103,129,79.8,66,76,72,177,249,135,25,144,0,1,0,451
Mike,Wilks,2009,4,0,59,6,12,50,2,3,66.7,2,4,50,0,4,1,3,4,4,0,5,0,0,0,16
